subject,predicate,object
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/SSG,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/BeZ,http://purl.org/dc/terms/description,"B, OÃ, St"
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/AuZ,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.umweltbundesamt.at/umweltsituation/naturschutz/sg/
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_11_1_3_1
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/SoZ,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema,http://www.w3.org/2004/02/skos/core#scopeNote,"Banko, Environment Agency Austria, 2016"
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/SoZ,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.umweltbundesamt.at/umweltsituation/naturschutz/sg/
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/MaZ,http://www.w3.org/2004/02/skos/core#definition,LGBl. NÃ 5505-0: Â§ 5-7 (NÃ NPG)
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/KeZ,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/MaZ,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/ps
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_13_3_2
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_12_2_1
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_10_2
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/SoZ,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/BeZ,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/AustrianNatureProtectionSchema/SoZ,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/ps
