URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/11_1|11_1|Abbaubereiche in Abbau|TECHNISCHE BIOTOPTYPEN, SIEDLUNGSBIOTOPTYPEN||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/11_2_5|11_2_5|Abraumhalde|Aufschuettungsflaechen und Halden|https://eunis.eea.europa.eu/habitats/1610|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/11_7_2|11_7_2|Absetzbecken und Schlammdeponie|Flaechen der Abfallwirtschaft|https://eunis.eea.europa.eu/habitats/414|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_1_2_2_2|5_1_2_2_2|Acker auf bodensaurem, naehrstoffarmem Standort|Extensiv bewirtschaftete aecker extremer Standorte|https://eunis.eea.europa.eu/habitats/359|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_1_2_2_4|5_1_2_2_4|Acker auf salzhaltigem Standort|Extensiv bewirtschaftete aecker extremer Standorte|https://eunis.eea.europa.eu/habitats/359|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_1_2_2_1|5_1_2_2_1|Acker auf trockenem, karbonatreichem Standort|Extensiv bewirtschaftete aecker extremer Standorte|https://eunis.eea.europa.eu/habitats/359|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_1_2_2_3|5_1_2_2_3|Acker auf vernaesstem Standort|Extensiv bewirtschaftete aecker extremer Standorte|https://eunis.eea.europa.eu/habitats/359|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_1_4|5_1_4|Ackerbrachen|aecker||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/5_2|5_2|Ackerraine|aeCKER, ACKERRAINE, WEINGaeRTEN UND RUDERALFLUREN||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_5_1|9_5_1|Ahorn-Eschen-Edellaubwald|Block-, Schutt- und Hangwaelder|https://eunis.eea.europa.eu/habitats/1740|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_2_3_3|9_2_3_3|Ahorn-Eschenauwald|Hartholzauwaelder|https://eunis.eea.europa.eu/habitats/1613|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/9_13_2_6|9_13_2_6|Ahornforst|Laubbaumforst|https://eunis.eea.europa.eu/habitats/183|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/1_3_4|1_3_4|Alluvionen und Uferpionierstandorte der Fließgewaessern|Fließgewaesser||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/4_2|4_2|Alpine bis nivale Polsterfluren und Rasenfragmente|HOCHGEBIRGSRASEN, POLSTERFLUREN UND RASENFRAGMENTE, SCHNEEBoeDEN||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Biotoptypen_AT/4_2_1|4_2_1|Alpine bis nivale Polsterfluren und Rasenfragmente ueber Karbonat|Alpine bis nivale Polsterfluren und Rasenfragmente|https://eunis.eea.europa.eu/habitats/150|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/hb|http://inspire.ec.europa.eu/theme/hb|http://inspire.ec.europa.eu/registry/status/valid
