subject|predicate|object
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#prefLabel|OGD identifiziert
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#prefLabel|OGD identified
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://purl.org/dc/terms/title|Directive Relevance
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://www.w3.org/2004/02/skos/core#scopeNote|INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/DirectiveRelevance/inspireIdentified|http://www.w3.org/2004/02/skos/core#prefLabel|INSPIRE identified
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#topConceptOf|https://registry.inspire.gv.at/codelist/DirectiveRelevance
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/DirectiveRelevance
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#scopeNote|INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://www.w3.org/2004/02/skos/core#hasTopConcept|https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#notation|ogdIdentified
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://www.w3.org/2004/02/skos/core#definition|Datensatz, Dienst oder Dokument ist konform zur Public-Sector-Information Richtlinie.
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/base2
https://registry.inspire.gv.at/codelist/DirectiveRelevance/inspireIdentified|http://www.w3.org/2004/02/skos/core#notation|inspireIdentified
https://registry.inspire.gv.at/codelist/DirectiveRelevance/psiKonform|http://www.w3.org/2004/02/skos/core#notation|psiKonform
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://purl.org/dc/terms/description|Assignement for data and data services on relevat directives or initiatives.
https://registry.inspire.gv.at/codelist/DirectiveRelevance/ogdIdentified|http://www.w3.org/2004/02/skos/core#definition|Data and data service or document is published at the OGD Portal.
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/base2
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://www.w3.org/2002/07/owl#versionInfo|1.0.0
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/DirectiveRelevance|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#ConceptScheme
