subject,predicate,object
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlp,http://www.w3.org/2004/02/skos/core#prefLabel,Nordalpen
https://registry.inspire.gv.at/codelist/Naturraumregionen/SoeAV,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlp,http://www.w3.org/2004/02/skos/core#definition,only available in german
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpSO,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/br
https://registry.inspire.gv.at/codelist/Naturraumregionen,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/Naturraumregionen/KONT
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpZ,http://www.w3.org/2004/02/skos/core#notation,ZAlpZ
https://registry.inspire.gv.at/codelist/Naturraumregionen/KONT,http://www.w3.org/2004/02/skos/core#narrower,https://registry.inspire.gv.at/codelist/Naturraumregionen/SoeAV
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpMiWest,http://www.w3.org/2004/02/skos/core#definition,only available in german
https://registry.inspire.gv.at/codelist/Naturraumregionen/SoeAV,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/br
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://www.w3.org/2004/02/skos/core#narrower,https://registry.inspire.gv.at/codelist/Naturraumregionen/KlBeck
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpOst,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/br
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpMiWest,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlp
https://registry.inspire.gv.at/codelist/Naturraumregionen/NoeGrGnHL,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/Naturraumregionen/SAlp,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpOst,http://www.w3.org/2004/02/skos/core#prefLabel,eastern Northalps
https://registry.inspire.gv.at/codelist/Naturraumregionen/SoeAV,http://www.w3.org/2004/02/skos/core#notation,SoeAV
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlp,http://www.w3.org/2004/02/skos/core#notation,NAlp
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://www.w3.org/2004/02/skos/core#prefLabel,Alpine Region
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpSO,http://www.w3.org/2004/02/skos/core#prefLabel,central Alps - southeastern part
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpSO,http://www.w3.org/2004/02/skos/core#definition,"Untegrliederung der Zentralalpen aufgrund physiogeographischer Charakteristika (Ã¼berwiegend Mittelgebirgscharakter und umfaÃt die Buckelige Welt, das steirische Bergland, die Fischbacher Alpen, die Gleinalpe, die Koralpe, die Seetaler Apen und die Nochberge)"
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/br
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpSO,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/Naturraumregionen
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP,http://www.w3.org/2004/02/skos/core#prefLabel,alpine region
