subject,predicate,object
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Population and Society
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/educationAndScience,http://www.w3.org/2004/02/skos/core#prefLabel,education and science
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/health,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/geographyAndPlanning,http://www.w3.org/2004/02/skos/core#notation,geographyAndPlanning
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/educationAndScience,http://www.w3.org/2004/02/skos/core#definition,"Best possible matching europeandataportal.eu according Education, Culture, Sport, Science and Technology"
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/educationAndScience
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/population,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/agriculture,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/recreation,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://www.data.gv.at/
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/economyAndTourism,http://www.w3.org/2004/02/skos/core#prefLabel,economy and tourism
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/economyAndTourism,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://www.data.gv.at/
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/environment,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Environment or Energy
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/economyAndTourism
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/finance,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Economy and Finance
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://www.data.gv.at/
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/health,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/environment,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/transport,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Transport
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/transport
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/population
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/labourAndEmployment,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/recreation,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/OgdCategoryAustria
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/transport,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/base2
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/population,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Population and Society
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/geographyAndPlanning,http://www.w3.org/2004/02/skos/core#definition,Best possible matching europeandataportal.eu according Regions and Cities
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/culture,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/finance,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/base2
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://purl.org/dc/terms/title,OGD Categories
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/transport,http://www.w3.org/2004/02/skos/core#prefLabel,transport
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/health,http://www.w3.org/2004/02/skos/core#prefLabel,Gesundheit
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/finance,http://www.w3.org/2004/02/skos/core#prefLabel,Finanzen und Rechnungswesen
https://registry.inspire.gv.at/codelist/OgdCategoryAustria,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/OgdCategoryAustria/culture
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/geographyAndPlanning,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/population,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
