URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/labourAndEmployment|labourAndEmployment|Arbeit||Best possible matching europeandataportal.eu according Economy and Finance|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/population|population|Bevoelkerung||Best possible matching europeandataportal.eu according Population and Society|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/educationAndScience|educationAndScience|Bildung und Forschung||Best possible matching europeandataportal.eu according Education, Culture, Sport, Science and Technology|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/finance|finance|Finanzen und Rechnungswesen||Best possible matching europeandataportal.eu according Economy and Finance|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/geographyAndPlanning|geographyAndPlanning|Geographie und Planung||Best possible matching europeandataportal.eu according Regions and Cities|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/society|society|Gesellschaft und Soziales||Best possible matching europeandataportal.eu according Population and Society|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/health|health|Gesundheit||Best possible matching europeandataportal.eu according Health|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/culture|culture|Kunst und Kultur||Best possible matching europeandataportal.eu according Education, Culture and Sport|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/agriculture|agriculture|Land- und Forstwirtschaft||Best possible matching europeandataportal.eu according Agriculture, Fisheries, Forestry and Foods|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/recreation|recreation|Sport und Freizeit||Best possible matching europeandataportal.eu according Education, Culture and Sport|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/environment|environment|Umwelt||Best possible matching europeandataportal.eu according Environment or Energy|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/transport|transport|Verkehr und Technik||Best possible matching europeandataportal.eu according Transport|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/governmentAndPolitics|governmentAndPolitics|Verwaltung und Politik||Best possible matching europeandataportal.eu according Government and Public Sector|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/OgdCategoryAustria/economyAndTourism|economyAndTourism|Wirtschaft und Tourismus||Best possible matching europeandataportal.eu according Economy and Finance|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/base2|http://inspire.ec.europa.eu/theme|http://inspire.ec.europa.eu/registry/status/valid
