URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1201|1201|Anmoor||Anmoor|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1300|1300|Aubodengruppe||Aubodengruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1803|1803|Brauner Tschernosem|Schwarzerdegruppe|Brauner Tschernosem|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1900|1900|Braunerdegruppe||Braunerdegruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2201|2201|Braunlehm|Reliktbodengruppe|Braunlehm|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2311|2311|Farb-Ortsboden|Ortsboden|Farb-Ortsboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1901|1901|Felsbraunerde|Braunerdegruppe|Felsbraunerde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1805|1805|Feuchtschwarzerde|Schwarzerdegruppe|Feuchtschwarzerde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2323|2323|Gartenboden|gestörter Boden|Gartenboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1801|1801|Gebirgsschwarzerde|Schwarzerdegruppe|Gebirgsschwarzerde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1601|1601|Gesteinsrohboden|Rohbodengruppe|Gesteinsrohboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1400|1400|Gleygruppe||Gleygruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2341|2341|Haldenboden, Planieboden|Schüttungsboden|Haldenboden, Planieboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1403|1403|Hanggley|Gleygruppe|Hanggley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2104|2104|Hangpseudogley|Pseudogley-Gruppe|Hangpseudogley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1101|1101|Hochmoor|Moor- und Anmoorgruppe|Hochmoor|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2342|2342|Kolluvium, Bodensedimente|Schüttungsboden|Kolluvium, Bodensedimente|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2322|2322|Kulturrohboden|gestörter Boden|Kulturrohboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1602|1602|Lockersediment-Rohboden|Rohbodengruppe|Lockersediment-Rohboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1902|1902|Lockersedimentbraunerde|Braunerdegruppe|Lockersedimentbraunerde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1100|1100|Moor- und Anmoorgruppe||Moor- und Anmoorgruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1103|1103|Niedermoor / Flachmoor|Moor- und Anmoorgruppe|Niedermoor / Flachmoor|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2310|2310|Ortsboden|atypische Böden|Ortsboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1903|1903|Parabraunerde|Braunerdegruppe|Parabraunerde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1702|1702|Pararendsina|Rendsina - Ranker - Gruppe|Pararendsina|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1804|1804|Paratschernosem|Schwarzerdegruppe|Paratschernosem|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2000|2000|Podsolgruppe||Podsolgruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2100|2100|Pseudogley-Gruppe||Pseudogley-Gruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1703|1703|Ranker|Rendsina - Ranker - Gruppe|Ranker|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2200|2200|Reliktbodengruppe||Reliktbodengruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2204|2204|Reliktpseudogley|Reliktbodengruppe|Reliktpseudogley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1701|1701|Rendsina|Rendsina - Ranker - Gruppe|Rendsina|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1700|1700|Rendsina - Ranker - Gruppe||Rendsina - Ranker - Gruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2321|2321|Restboden|gestörter Boden|Restboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2330|2330|Rigolboden|atypische Böden|Rigolboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1301|1301|Rohauboden|Aubodengruppe|Rohauboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1600|1600|Rohbodengruppe||Rohbodengruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2203|2203|Roterde|Reliktbodengruppe|Roterde|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2202|2202|Rotlehm|Reliktbodengruppe|Rotlehm|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1500|1500|Salzbodengruppe||Salzbodengruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1800|1800|Schwarzerdegruppe||Schwarzerdegruppe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1304|1304|Schwemmboden|Aubodengruppe|Schwemmboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2340|2340|Schüttungsboden|atypische Böden|Schüttungsboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2001|2001|Semipodsol|Podsolgruppe|Semipodsol|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1503|1503|Solonetz|Salzbodengruppe|Solonetz|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1501|1501|Solontschak|Salzbodengruppe|Solontschak|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1502|1502|Solontschak - Solonetz|Salzbodengruppe|Solontschak - Solonetz|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2103|2103|Stagnogley|Pseudogley-Gruppe|Stagnogley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2313|2313|Struktur-Ortsboden|Ortsboden|Struktur-Ortsboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2205|2205|Terra Fusca|Reliktbodengruppe|Terra Fusca|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2312|2312|Textur-Ortsboden|Ortsboden|Textur-Ortsboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1802|1802|Tschernosem|Schwarzerdegruppe|Tschernosem|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2300|2300|atypische Böden||atypische Böden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1303|1303|brauner Auboden|Aubodengruppe|brauner Auboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1402|1402|extremer Gley|Gleygruppe|extremer Gley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2102|2102|extremer Pseudogley|Pseudogley-Gruppe|extremer Pseudogley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2320|2320|gestörter Boden|atypische Böden|gestörter Boden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1302|1302|grauer Auboden|Aubodengruppe|grauer Auboden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/0|0|keine Angabe||keine Angabe|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/2400|2400|nicht identifizierbare Böden||nicht identifizierbare Böden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S172/1401|1401|typischer Gley|Gleygruppe|typischer Gley|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/so|http://inspire.ec.europa.eu/theme/so|http://inspire.ec.europa.eu/registry/status/valid
