subject,predicate,object
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1433,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1430
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2310,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2300
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2320,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2400
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1225,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2230,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2200
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1253,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2033,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2130,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2100
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1253,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1250
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1231,http://www.w3.org/2004/02/skos/core#definition,Mull - Kalklehm-Rendzina
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1760,http://www.w3.org/2004/02/skos/core#definition,Deponieboden (YD)
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1921,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1731,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1731,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1730
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1320,http://www.w3.org/2004/02/skos/core#notation,1320
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1255,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1254,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1121,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1831,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2010,http://www.w3.org/2004/02/skos/core#notation,2010
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1422,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1261,http://www.w3.org/2004/02/skos/core#notation,1261
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1920,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1820,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1800
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1261,http://www.w3.org/2004/02/skos/core#definition,Carbonathaltiger Tschernosem
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1750,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2320,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2300
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2111,http://www.w3.org/2004/02/skos/core#definition,typisches Niedermoor
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1762,http://www.w3.org/2004/02/skos/core#notation,1762
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2132,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2031,http://www.w3.org/2004/02/skos/core#notation,2031
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1812,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1810
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1760,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1700
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1712,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2111,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2110
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1700,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2000,http://www.w3.org/2004/02/skos/core#definition,Gleye
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1433,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1410,http://www.w3.org/2004/02/skos/core#prefLabel,Semipodsol
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1111,http://www.w3.org/2004/02/skos/core#notation,1111
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1810,http://www.w3.org/2004/02/skos/core#notation,1810
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1222,http://www.w3.org/2004/02/skos/core#definition,Mull-Rendzina
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2021,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1221,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1322,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2300,http://www.w3.org/2004/02/skos/core#notation,2300
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1262,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2110,http://www.w3.org/2004/02/skos/core#prefLabel,Niedermoor
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1254,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1250
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2230,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1232,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1122,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1900,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1730,http://www.w3.org/2004/02/skos/core#narrower,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1731
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1422,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322,http://www.w3.org/2004/02/skos/core#hasTopConcept,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1200
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1250,http://www.w3.org/2004/02/skos/core#narrower,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1251
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1761,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1250,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/so
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1312,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1762,http://www.w3.org/2004/02/skos/core#definition,karbonathaltiger Deponieboden
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1220,http://www.w3.org/2004/02/skos/core#narrower,https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1226
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2021,http://www.w3.org/2004/02/skos/core#prefLabel,typischer Nassgley
