URI	Notation	Label	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalBuilding	agriculturalBuilding	Agrargebaeude	Bauliche Anlagen, die für die Erzeugung landwirtschaflicher Produkt, primaer als auch sekundär genutzt werden.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/outsideArea	outsideArea	Außenanlage	Flächen die Gebäude und baulichen Anlagen direkt angrenzen.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/blueZone	blueZone	Blaue Zone	Dieser Bereich ist eine wasserwirtschaftliche Bedarfszone und wird auf Flächen ausgewiesen, die für die Durchführung sowie Aufrechterhaltung der Funktionen geplanter schutzwasserwirtschaftlicher Maßnahmen benötigt werden.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/bridge	bridge	Bruecke	Bauliche Objekte oder Versorgungseinrichtungen, die durch technische Konstruktionen Hindernisse überwinden.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/railway	railway	Eisenbahn	Bauliche Objekte, die dem Zugverkehr zu zuordnen sind.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/electricalInstallations	electricalInstallations	Elektrische Anlagen	Bauliche Infrastrukturanlagen zur Herstellung und Versorgung durch elektrischen Strom.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/telecommunicationNetwork	telecommunicationNetwork	Fernmeldeleitungen	Bauliche Infrastrukturanlagen zur Kommunikationsversorgung.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestAndAgriculturalTrails	forestAndAgriculturalTrails	Forst und Agrarwege	Bauliche Objekte, die als Transportweg zur zweckmäßigen Bewirtschaftung von land- und forstwirtschaftlichen Liegenschaften dienen.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/gasPipelines	gasPipelines	Gasleitungen	Bauliche Infrastrukturanlagen zur Verteilung und Versorgung Erdgas doer anderen Brenngasen.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingEconomicBenefit	buildingEconomicBenefit	Gebaeude Wirtschaftlicher Nutzen	Bauliche Anlagen, die vornehmlich zum Zwecke des Wirtschaftens wie Hotels, Gasthäuser, etc. und Kleingewerbe dient.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
