subject|predicate|object
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryArea|http://www.w3.org/2004/02/skos/core#prefLabel|forestry area
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redZone|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/street|http://www.w3.org/2000/01/rdf-schema#seeAlso|national-technical
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalObjects|http://www.w3.org/2004/02/skos/core#notation|agriculturalObjects
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/street|http://www.w3.org/2004/02/skos/core#prefLabel|street
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/gasPipelines
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/remainingRisk|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/residentialBuilding|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingEconomicBenefit|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue|http://www.w3.org/2004/02/skos/core#scopeNote|INSPIRE extensibility: open, internal by value
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingsAndFacilities|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingEconomicBenefit
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/publicBuilding|http://www.w3.org/2004/02/skos/core#definition|Constructional facilities that serve the public and are therefore accessible to everyone.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/bridge|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/industrialAndCommercialBuilding|http://www.w3.org/2004/02/skos/core#prefLabel|industrial and commercial building
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/blueZone|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingEconomicBenefit|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/outsideArea|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/telecommunicationNetwork|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryObjects|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalAndForestryCrops
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterPipelines|http://www.w3.org/2004/02/skos/core#notation|waterPipelines
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/bridge|http://www.w3.org/2004/02/skos/core#definition|Structural objects or utilities that overcome obstacles through technical constructions.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#topConceptOf|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/sewer|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/2004/02/skos/core#prefLabel|former red zone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingEconomicBenefit|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalArea|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redYellowZone|http://www.w3.org/2004/02/skos/core#prefLabel|Rot Gelbe Zone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingsAndFacilities|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/publicBuilding|http://www.w3.org/2004/02/skos/core#notation|publicBuilding
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/miscellaneousLoss|http://www.w3.org/2004/02/skos/core#notation|miscellaneousLoss
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/remainingRisk|http://www.w3.org/2004/02/skos/core#definition|Remaining areas of a flood with a rare probability of occurrence.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/bridge|http://www.w3.org/2004/02/skos/core#prefLabel|Bruecke
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2000/01/rdf-schema#seeAlso|national-technical
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue|http://purl.org/dc/terms/type|http://inspire.ec.europa.eu/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/electricalInstallations|http://www.w3.org/2004/02/skos/core#definition|Bauliche Infrastrukturanlagen zur Herstellung und Versorgung durch elektrischen Strom.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue|http://www.w3.org/2004/02/skos/core#hasTopConcept|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryArea|http://www.w3.org/2004/02/skos/core#definition|FlÃ¤chen, die zur forstwirtschaftlichen Rohstofferzeugung als auch das Erbringen immaterieller Leistungen insbesondere als Schutz- und Erholungsraum.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/outsideArea|http://www.w3.org/2000/01/rdf-schema#seeAlso|national-technical
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalAndForestryCrops|http://www.w3.org/2004/02/skos/core#notation|agriculturalAndForestryCrops
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterPipelines|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/2004/02/skos/core#prefLabel|ehemals Rote Zone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redZone|http://www.w3.org/2004/02/skos/core#prefLabel|Rote Zone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/blueZone|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/street|http://www.w3.org/2004/02/skos/core#definition|Buildings used as transport routes connecting geographical locations on the land surface.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/residentialBuilding|http://www.w3.org/2004/02/skos/core#prefLabel|residential building
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/publicBuilding|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalBuilding|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/publicBuilding|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/buildingsAndFacilities
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/railway|http://www.w3.org/2004/02/skos/core#definition|Structural objects to be assigned to railway network.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalBuilding|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestAndAgriculturalTrails|http://www.w3.org/2004/02/skos/core#prefLabel|Forst und Agrarwege
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterPipelines|http://www.w3.org/2004/02/skos/core#prefLabel|water pipelines
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalObjects|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalArea|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/2004/02/skos/core#definition|Hierbei handelt es sich um Restrisikogebiete im Wirkungsbereich von Hochwasserschutzanlagen. Wenn ein Hochwasserereignis das Bemessungsereignis Ã¼bersteigt bzw. in Folge eines technischen Gebrechens die Hochwasserschutzanlage nicht funktioniert, kommt es im Wirkungsbereich der Hochwasserschutzanlage zu Ãberflutungen in einem AusmaÃ Ã¤hnlich wie bei Nichtvorhandensein der Hochwasserschutzanlage. Neubauten sind in diesem Bereich hochwassergeschÃ¼tzt zu errichten.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/inventoryAndEquipment|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/yellowZone|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#prefLabel|Verkehrs und Leitungsinfrastruktur
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterPipelines
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/residentialBuilding|http://www.w3.org/2004/02/skos/core#notation|residentialBuilding
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/telecommunicationNetwork
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/railway|http://www.w3.org/2004/02/skos/core#definition|Bauliche Objekte, die dem Zugverkehr zu zuordnen sind.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/remainingRisk|http://www.w3.org/2004/02/skos/core#notation|remainingRisk
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redYellowZone|http://www.w3.org/2004/02/skos/core#definition|Diese Bereiche sind als Retentions-, Abfluss- und wasserwirtschaftliche Vorrangzonen vorgesehen und sind fÃ¼r den schadlosen Abfluss und HochwasserrÃ¼ckhalt im Hochwasserfall von groÃer Bedeutung.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestAndAgriculturalTrails|http://www.w3.org/2004/02/skos/core#prefLabel|Forest and agricultural trails
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalBuilding|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/sewer|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryObjects|http://www.w3.org/2004/02/skos/core#notation|forestryObjects
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/miscellaneousLoss|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/forestryArea|http://www.w3.org/2004/02/skos/core#definition|Areas used for the production of forest products and the provision of intangible services, in particular as a protected and recreational area.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/agriculturalBuilding|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/nz
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/sewer|http://www.w3.org/2000/01/rdf-schema#seeAlso|national-technical
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/telecommunicationNetwork|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/waterpathTransport|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/formerRedZone|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/electricalInstallations|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/protectionInfrastructure|http://www.w3.org/2004/02/skos/core#definition|Constructional installations installed for the protection of infrastructure, objects and persons exposed to natural hazards.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/sewer|http://www.w3.org/2004/02/skos/core#definition|Bauliche Infrastrukturanlagen zur Sammlung und Ableitung von Abwasser, Regen- oder Schmelzwasser durch unter- bzw. oberirdische KanÃ¤le.
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/outsideArea|http://www.w3.org/2004/02/skos/core#notation|outsideArea
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/residentialBuilding|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/electricalInstallations
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/railway|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/nz-core
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/classificationZone|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/redZone
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/electricalInstallations|http://www.w3.org/2004/02/skos/core#prefLabel|water path transport
https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/transporAndNetworkInfrastructure|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/SpecificExposedElementTypeValue/street
