URI	Notation	Label	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/groundSubsidence	groundSubsidence	Ground Subsidence	Subsidence is the sinking or settling of the ground surface. It can occur by a number of methods. Ground subsidence can result from the settlement of native low density soils, or the caving in of natural or man-made underground voids.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/blindtromben	blindtromben	blindtromben	In meteorology, a cloud column or inverted cloud cone, pendant from a cloud base. This supplementary feature occurs mostly with cumulus and cumulonimbus; when it reaches the earth's surface it constitutes the cloudy manifestation of an intense vortex, namely, a tornado or waterspout.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/coldWave	coldWave	cold wave	Popularly, a period of very cold weather.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/continuousRain	continuousRain	continuous rain	-		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/ductileFlow	ductileFlow	ductile flow	deformation without apparent loss of continuity at the scale of observation.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/dustDevil	dustDevil	dust devil	Dust devils are occasionally strong enough to cause minor damage (up to EF0 on the Enhanced Fujita scale). Diameters range from about 3 m to greater than 30 m; their average height is about 200 m, but a few have been observed as high as 1 km or more. They have been observed to rotate anticyclonically as well as cyclonically. Although the vertical velocity is predominantly upward, the flow along the axis of large dust devils may be downward. Large dust devils may also contain secondary vortices. Dust devils are best developed on a hot, calm afternoon with clear skies, in a dry region when intense surface heating causes a very steep lapse rate of temperature in the lowest 100 m of the atmosphere.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/flood	flood	flood	Processes of inundation of usually dry (emerged) land, or temporary covering by water of land not normally covered by water.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/fluviatileErosion	fluviatileErosion	fluviatileErosion	Refers to the erosion, particle displacement (fluvial transport) by the flowing water, as well as corrasion by entrained solids.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/fog	fog	fog	Water droplets suspended in the atmosphere in the vicinity the earth's surface that affect visibility.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/gustnado	gustnado	gustnado	Colloquial expression for a short-lived, shallow, generally weak, vertically oriented vortex found along a gust front. Gustnadoes are usually visualized by a rotating dust or debris cloud.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/hail	hail	hail	ice pellets or small hail (less than 5mm diameter in the Range with 20mm or more		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/heatWave	heatWave	heat wave	A period of abnormally and uncomfortably hot and usually humid weather.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/heavyRain	heavyRain	heavy rain	Rainfall greater than or equal to 50 mm in past 24 hours		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/heavySnowfall	heavySnowfall	heavy snowfall	Heavy Snowfall greater than or equal to 50 mm in past 24 hours		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/landslide	landslide	landslide	Processes of downhill slope movements of soil, rock, and organicMaterials related to different types of ground failure.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/massWasting	massWasting	mass wasting	the dislodgement and downslope transport of soil and rock material under the direct application of gravitational body stresses. In contrast to other erosion processes, the debris removed by mass wasting is not carried within, on, or under another medium. The mass properties of the material being transported depend on the interaction of the soil and rock particles and on the moisture content.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/mudflow	mudflow	mudflow	mass of mud moving suddenly and quickly down a steep slope		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/precipitation	precipitation	precipitation	All liquid or solid phase aqueous particles that originate in the atmosphere and fall to the earth's surface.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/rockfall	rockfall	rockfall	is the falling of a newly detached mass of rock from a cliff or down a very steep slope. Rocks in a rockfall can be of any dimension, from the size of baseballs to houses.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/snowAvalanche	snowAvalanche	snow avalanche	A snow mass with typically a volume greater than 100 m3 and a minimum length of 50 meters that slides rapidly downhill.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/snowPressure	snowPressure	snow pressure	This refers to an excessive load of snow that damages the roof or the walls.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SpecificHazardTypeValue/thunderstorm	thunderstorm	thunderstorm	In general, a local storm, invariably produced by a cumulonimbus cloud and always accompanied by lightning and thunder, usually with strong gusts of wind, heavy rain, and sometimes with hail.		http://inspire.ec.europa.eu/applicationschema/nz-core	http://inspire.ec.europa.eu/theme/nz	http://inspire.ec.europa.eu/registry/status/valid
