URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/Almhauptregionen|Almhauptregionen|Almhauptregionen||Almregionen und Almhauptregionen Österreichs auf Basis politischer Gemeinden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/fishingCadastre|fishingCadastre|Fischereikataster||Fischereireviere bzw. Fischereirechtsinhaber|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/ALSAG_Gebiete|ALSAG_Gebiete|Gebiete gemaess Altlastensanierungsgesetz||Gebiete gemaess Altlastensanierungsgesetz (ALSAG). Vom Landeshauptmann gemeldete Altablagerungen (alte Deponien) und Altstandorte (ehemalige Fabriken), die vor 1989 kontaminiert sein koennen, werden nach Durchführung einer Gefaehrdungsabschaetzung und Feststellung einer erheblichen Gefaehrdung für die Umwelt und Gesundheit (nach Bewertung durch das Umweltbundesamt) als sicherungs- und sanierungsbeduerftige Altlasten vom Bundesminister in der AltlastenVO ausgewiesen. Die Bewertung der Dringlichkeit von erforderlichen Sanierungsmassnahmen werden mittels drei Prioritätenklassen unterschieden. Eine Einstufung in die Prioritätenklasse 1 bedeutet die höechste Dringlichkeit von Sanierungsmaßnahmen. Nach Bestaetigung des Sanierungserfolges werden die Daten zur Altlast vom Umweltbundesamt aktualisiert und in der AltlastenVO vom Bundesminister als sanierte oder gesicherte Altlast gekennzeichnet.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/Jagdkastaster|Jagdkastaster|Jagdgebiet||Ausweisung von Jagdteilgebieten aufgrund von jeweiligen Jagdgesetzen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/Bewirtschaftungsgebiete|Bewirtschaftungsgebiete|Landwirtschaftliche Bewirtschaftungsgebiete||Landwirtschaftliche Lagen Österreichs auf Basis NUTS III Gebiete|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/LandwirtschaftlicheHauptproduktionsgebiete|LandwirtschaftlicheHauptproduktionsgebiete|Landwirtschaftliche Hauptproduktionsgebiete||Landwirtschaftliche Klein- und Hauptproduktionsgebiete Österreichs auf Basis politischer Gemeinden|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/WaterAbstraction|WaterAbstraction|Restwasserstrecke||Abschnitt eines Gewässers, der durch anthropogen bedingte Ableitung bzw. durch anthropogen bedingten Rückhalt von einer Abminderung des natürlichen Abflusses betroffen ist.||http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/saproWindEnergy|saproWindEnergy|SAPRO Windenergiezone||Dieses Entwicklungsprogramm hat die Festlegung von überörtlichen Vorgaben zum raumverträglichen Ausbau der Windenergie in der Steiermark zum Ziel.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/Sanierungsgebiet_Luftreinhalteprogramm|Sanierungsgebiet_Luftreinhalteprogramm|Sanierungsgebiet Luftreinhalteprogramm||Sanierungsgebiet ist ein Gebiet, in dem sich die Emissionsquellen befinden, die einen erheblichen Beitrag zur Überschreitung eines Immissionsgrenzwerts geleistet haben und für die in einem Luftreinhalte-Programm Maßnahmen vorgesehen werden können.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ZoneTypeCodeAt/Hydropeaking|Hydropeaking|Schwallstrecke||Gewässerstrecke mit anthropogen bedingten Wasserführungsschwankungen mit Schwall-Sunk-Erscheinungen.||http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
