subject|predicate|object
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/2004/02/skos/core#definition|Weinbauriede sind Weinbaufluren oder Teile einer Weinbauflur, die sich durch natÃ¼rliche oder kÃ¼nstliche Grenzen oder infolge der weinbaulichen Nutzung als selbststÃ¤ndiger Gebietsteil darstellt und entweder schon bisher als Weinbauriede bezeichnet wurde oder infolge der Lage und Bodenbeschaffenheit die Hervorbringung gleichartiger und gleichwertiger Weine erwarten lÃ¤sst
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/description|Austrian extension for Burgenland specific land use classification
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#ConceptScheme
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/created|2026-05-05T14:30:11+00:00
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://www.w3.org/2002/07/owl#versionInfo|1.0.0
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/description|Ãsterreich-Erweiterung fÃ¼r Burgenland spezifische Landnutzungsklassifizierung
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://www.w3.org/2004/02/skos/core#scopeNote|INSPIRE extensibility: open, internal by value
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/publisher|https://registry.inspire.gv.at/dataprovider/0018
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/title|BGL Landnutzungsklassen
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/lu
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://www.w3.org/2004/02/skos/core#hasTopConcept|https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/lu
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/type|http://inspire.ec.europa.eu/codelist/LandUseClassificationValue
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/2004/02/skos/core#notation|Weinbauriede
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/2004/02/skos/core#prefLabel|Weinbauriede
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/2004/02/skos/core#inScheme|https://registry.inspire.gv.at/codelist/bglLandUseValue
https://registry.inspire.gv.at/codelist/bglLandUseValue|http://purl.org/dc/terms/title|BGL Land Use Value
https://registry.inspire.gv.at/codelist/bglLandUseValue/Weinbauriede|http://www.w3.org/2004/02/skos/core#topConceptOf|https://registry.inspire.gv.at/codelist/bglLandUseValue
