URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/AN	AN	ACKER NICHT KPF BEIHILFEFÄHIG		ACKER NICHT KPF BEIHILFEFÄHIG	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/A	A	ACKERLAND		ACKERLAND	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/L	L	ALMEN		ALMEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/LM	LM	ALMFELDSTÜCK - MITBESTOSSEN		ALMFELDSTÜCK - MITBESTOSSEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/FO	FO	FORST		FORST	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/D	D	GEMEINSCHAFTSWEIDE		GEMEINSCHAFTSWEIDE	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/GA	GA	GESCHÜTZTER ANBAU		GESCHÜTZTER ANBAU	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/G	G	GRÜNLAND		GRÜNLAND	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/PF	PF	PFLEGEFLÄCHE		PFLEGEFLÄCHE	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/NF	NF	SONSTIGE NUTZFLÄCHE		SONSTIGE NUTZFLÄCHE	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/S	S	SPEZIALKULTUREN		SPEZIALKULTUREN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/ST	ST	SPEZIALKULTURFELDSTÜCKE IN TERASSENFORM	SPEZIALKULTUREN	SPEZIALKULTURFELDSTÜCKE IN TERASSENFORM	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/TF	TF	TEICHFLÄCHEN		TEICHFLÄCHEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/DM	DM	WEIDEFELDSTÜCK - MITBESTOSSEN		WEIDEFELDSTÜCK - MITBESTOSSEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/WI	WI	WEINGARTENFLÄCHEN		WEINGARTENFLÄCHEN IM ERTRAG INKL. JUNGANLAGEN UND SCHNITTWEINGÄRTEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/WT	WT	WEINGARTENFLÄCHEN TERRASSAN	WEINGARTENFLÄCHEN	WEINGARTENFLÄCHEN IM ERTRAG INKL. JUNGANLAGEN UND SCHNITTWEINGÄRTEN - TERRASSENANLAGEN	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
