URI|Notation|Label|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/AN|AN|ACKER NICHT KPF BEIHILFEFÄHIG|ACKER NICHT KPF BEIHILFEFÄHIG||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/A|A|ACKERLAND|ACKERLAND||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/L|L|ALMEN|ALMEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/LM|LM|ALMFELDSTÜCK - MITBESTOSSEN|ALMFELDSTÜCK - MITBESTOSSEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/FO|FO|FORST|FORST||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/D|D|GEMEINSCHAFTSWEIDE|GEMEINSCHAFTSWEIDE||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/GA|GA|GESCHÜTZTER ANBAU|GESCHÜTZTER ANBAU||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/G|G|GRÜNLAND|GRÜNLAND||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/PF|PF|PFLEGEFLÄCHE|PFLEGEFLÄCHE||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/NF|NF|SONSTIGE NUTZFLÄCHE|SONSTIGE NUTZFLÄCHE||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/S|S|SPEZIALKULTUREN|SPEZIALKULTUREN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/ST|ST|SPEZIALKULTURFELDSTÜCKE IN TERASSENFORM|SPEZIALKULTURFELDSTÜCKE IN TERASSENFORM||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/TF|TF|TEICHFLÄCHEN|TEICHFLÄCHEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/DM|DM|WEIDEFELDSTÜCK - MITBESTOSSEN|WEIDEFELDSTÜCK - MITBESTOSSEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/WI|WI|WEINGARTENFLÄCHEN|WEINGARTENFLÄCHEN IM ERTRAG INKL. JUNGANLAGEN UND SCHNITTWEINGÄRTEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/feldstuecksnutzungsart/WT|WT|WEINGARTENFLÄCHEN TERRASSAN|WEINGARTENFLÄCHEN IM ERTRAG INKL. JUNGANLAGEN UND SCHNITTWEINGÄRTEN - TERRASSENANLAGEN||http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
