subject|predicate|object
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/productiveFunction|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/recreationalFunction|http://www.w3.org/2004/02/skos/core#prefLabel|Erholungsfunktion
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/productiveFunction|http://www.w3.org/2004/02/skos/core#prefLabel|Nutzfunktion
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/protectiveFunction|http://www.w3.org/ns/adms#status|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/welfareFunction|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/protectiveFunction|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue|http://www.w3.org/2004/02/skos/core#scopeNote|INSPIRE extensibility: open, internal by value
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/recreationalFunction|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue|http://purl.org/dc/terms/type|http://inspire.ec.europa.eu/codelist/LandUseClassificationValue
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry|http://www.w3.org/2004/02/skos/core#definition|Waldflaechen zur Erzeugung von Holz und anderen Rohholzerzeugnissen und weiteren Funktionen.
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/welfareFunction|http://www.w3.org/2004/02/skos/core#prefLabel|welfare function
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://www.w3.org/2004/02/skos/core#broader|https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/forestry|http://www.w3.org/2004/02/skos/core#narrower|https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/recreationalFunction
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/welfareFunction|http://www.w3.org/2004/02/skos/core#notation|welfareFunction
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/recreationalFunction|http://www.w3.org/2004/02/skos/core#prefLabel|recreational function
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue|http://purl.org/dc/terms/conformsTo|http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/welfareFunction|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://www.w3.org/2004/02/skos/core#notation|nonForestAreas
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/lu
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/recreationalFunction|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/protectiveFunction|http://www.w3.org/2004/02/skos/core#notation|protectiveFunction
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/protectiveFunction|http://purl.org/dc/terms/subject|http://inspire.ec.europa.eu/theme/lu
https://registry.inspire.gv.at/codelist/forestInventoryTypeValue/nonForestAreas|http://www.w3.org/2004/02/skos/core#definition|Area is almost entirely non-forest (e.g. areas of intensive agricultural use, glaciers or lakes).
