subject,predicate,object
https://registry.inspire.gv.at/codelist/noeLandUseValue,http://purl.org/dc/terms/description,Austrian extension for Lower Austria specific land use classification
https://registry.inspire.gv.at/codelist/noeLandUseValue/centralZone,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandResourceExtractionSite,http://purl.org/dc/terms/description,Â§ 20 (2) Z 5
https://registry.inspire.gv.at/codelist/noeLandUseValue/centreZone,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWindPowerPlant,http://www.w3.org/2004/02/skos/core#prefLabel,Green land wind power plant
https://registry.inspire.gv.at/codelist/noeLandUseValue/centreZone,http://purl.org/dc/terms/description,Â§ 14 (2) Z 15 Â§ 18 (1)
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCoreAreaCommercialFacilities,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandSmallGardenPlot,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCommercialUse,http://www.w3.org/2004/02/skos/core#prefLabel,building land commercial use
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandSportsFacility,http://purl.org/dc/terms/description,Â§ 20 (2) Z 8
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandShelter,http://purl.org/dc/terms/subject,http://inspire.ec.europa.eu/theme/lu
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandSportsFacility,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandMarketGardenAndPlantNursery,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWasteTreatmentFacility,http://purl.org/dc/terms/description,Â§ 20 (2) Z 13
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandShelter,http://www.w3.org/2004/02/skos/core#notation,greenLandShelter
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWindPowerPlant,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandShelter,http://www.w3.org/2004/02/skos/core#prefLabel,Gruenland-Schutzhaus
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandAgricultureAndForestryFarm,http://purl.org/dc/terms/description,Â§ 20 (2) Z 1b
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWasteTreatmentFacility,http://www.w3.org/2004/02/skos/core#definition,Green land - waste treatment facilities.
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandResourceExtractionSite,http://www.w3.org/2004/02/skos/core#prefLabel,Gruenland Materialgewinnungsstaette
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandResourceExtractionSite,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCommercialUse,http://purl.org/dc/terms/description,Â§ 16 (1) Z 3 and 4
https://registry.inspire.gv.at/codelist/noeLandUseValue/centreZone,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandSmallGardenPlot,http://purl.org/dc/terms/description,Def. NOE
https://registry.inspire.gv.at/codelist/noeLandUseValue/centralZone,http://www.w3.org/2004/02/skos/core#prefLabel,Zentrumszone
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandCampsite,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandMarketGardenAndPlantNursery,http://purl.org/dc/terms/description,Def. NOE
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandOpenSpaceArea,http://purl.org/dc/terms/description,Def. NOE
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandLandfill,http://www.w3.org/2004/02/skos/core#notation,greenLandLandfill
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandMarketGardenAndPlantNursery,http://purl.org/dc/terms/description,Â§ 20 (2) Z 6
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandMarketGardenAndPlantNursery,http://www.w3.org/2004/02/skos/core#prefLabel,Gruenland Gaertnerei
https://registry.inspire.gv.at/codelist/noeLandUseValue/centreZone,http://purl.org/dc/terms/description,Def. NOE
https://registry.inspire.gv.at/codelist/noeLandUseValue,http://purl.org/dc/terms/description,Ãsterreich-Erweiterung fÃ¼r NiederÃsterreich spezifische Landnutzungsklassifizierung
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWindPowerPlant,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandSpecialZone,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCoreAreaCommercialFacilities,http://www.w3.org/2004/02/skos/core#definition,Bauland Kerngebiet-Handelseinrichtungen
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCoreAreaCommercialFacilities,http://www.w3.org/2004/02/skos/core#notation,buildingLandCoreAreaCommercialFacilities
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandSportsFacility,http://www.w3.org/2004/02/skos/core#definition,Gruenland Sportstaetten.
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandWasteTreatmentFacility,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandParkArea,http://www.w3.org/2004/02/skos/core#topConceptOf,https://registry.inspire.gv.at/codelist/noeLandUseValue
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandShelter,http://www.w3.org/2004/02/skos/core#definition,"Gruenland Schutzhauuser: Gast- und Beherbergungsbetriebe sowie Unterstandshuetten, die fÃ¼r die Beduerfnisse des fuÃwegigen Tourismus erforderlich sind."
https://registry.inspire.gv.at/codelist/noeLandUseValue,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/noeLandUseValue/greenLandPlayground,http://www.w3.org/2004/02/skos/core#prefLabel,Gruenland Spielplatz
https://registry.inspire.gv.at/codelist/noeLandUseValue/buildingLandCoreAreaCommercialFacilities,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/noeLandUseValue/centralZone,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
