URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/ooeLandUseValue/resourceExtraction	resourceExtraction	Abgrabungsgebiete		Abgrabungsgebiete fuer Sand, Kies, Lehm bzw. Steinbrueche	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/wasteStorage	wasteStorage	Ablagerungsplaetze		Flaechen fuer die Ablagerung von Muell, Fahrzeugwracks und Altmaterial	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/embankmentArea	embankmentArea	Aufschuettungsgebiete		Aufschuettungsgebiete	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/existingFacilitiesReservedArea	existingFacilitiesReservedArea	Bestehende Einrichtungen auf Vorbehaltsflaechen		Bestehende Bauwerke und Anlagen auf Vorbehaltsflaechen fuer oeffentlichen Zwecken dienenden Bauwerken und Anlagen (Verwaltungsgebaeude, Schule, Krankenanstalt, Altersheim, Heil- und Pflegeanstalt, Altstoffsammelzentrum, Jugendheim oder Jugendherberge, Seelsorgeeinrichtung, Kindergarten, Hallenbad, Feuerwehr, Luftschutzanlage, Hochwasserschutzanlagen, Ergaenzungsmoeglichkeiten fuer Vorbehaltsflaechen)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/existingBuilding	existingBuilding	Bestehende Gebaeude im Gruenland und deren spezifische Festlegung		Bestehende Gebaeude im Gruenland und deren spezifische Festlegung, wie in etwa fuer bestehende Gasthoefe, bestehende Wohngebaeude oder landwirtschaftliche Gebaeude	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/commercialArea	commercialArea	Betriebsbaugebiet		Flaechen fuer Betriebe und Lagerplaetze, die die Umgebung nicht erheblich stoeren und fuer zugeordnete Buero- und Verwaltungsgebaeude	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/allotmentGarden	allotmentGarden	Dauerkleingaerten		Flaechen fuer Dauerkleingaerten	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/villageArea	villageArea	Dorfgebiet		Flaechen, die fuer Bauten land- und forstwirtschaftlicher Nutzung in verdichteter Anordnung bestimmt sind.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/limitedMixedUseArea	limitedMixedUseArea	Eingeschraenkt Gemischtes Baugebiet		Zur funktionalen Gliederung kann in gemischten Baugebieten die Zulaessigkeit von Bauwerken und Anlagen, die in Wohngebieten errichtet werden duerfen, eingeschraenkt oder ausgeschlossen werden.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/recreationalAreas	recreationalAreas	Erholungsflaechen		Flaechen fuer Erholungs- oder Sportanlagen wie Parkanlagen, Spiel- und Liegewiesen, Sport- und Spielflaechen, Freibaeder, Campingplaetze, Tennishallen, Golfplaetze, Reitsportanlagen, Gaststaetten und Schutzhuetten sowie Wintersportanlagen einschliesslich der Schipisten	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/trafficArea	trafficArea	Flaechenmaessige Darstellung - fliessender Verkehr		Flaechen, die den fliessenden und ruhenden Verkehr dienen und besondere Verkehrsbedeutung besitzen, wie Parkplaetze, Parkhaeuser, unterirdische Parkflaechen und Fusswege	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/cemetery	cemetery	Friedhof		Flaechen fuer Friedhoefe	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/plantNursery	plantNursery	Gaertnerei		Flaechen fuer Gaertnereien	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/mixedUseArea	mixedUseArea	Gemischtes Baugebiet		Flaechen fuer Klein- und Mittelbetriebe, Lagerplaetze und Bauwerke wie im Wohngebiet	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/shoppingArea	shoppingArea	Geschaeftsgebiete		Flaechen fuer Handelsbetriebe mit einer Gesamtverkaufsflaeche von > 300m²	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/specialOpenGreenLand	specialOpenGreenLand	Gruenflaeche mit besonderer Widmung		Gruenzuege, Trenngruens und sonstige	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/specialAgriculturalEnterprise	specialAgriculturalEnterprise	Gruenland fuer Sonderformen von land- und forstwirtschaftlichen Betrieben		Flaechen fuer land- und forstwirtschaftliche Betriebe mit nicht herkoemmlichen Produktionsformen (Betriebe der bodenunabhaengigen Haltung landwirtschaftlicher Nutztiere, Tierparks, Zucht und Haltung von Tieren, die keine landwirtschaftlichen Nutztiere sind und dgl.)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/industryArea	industryArea	Industriegebiet		Flaechen fuer Grossbetriebe und Lagerplaetze	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/centreZone	centreZone	Kerngebiet		Flaechen mit ueberwiegend staedtischer oder typisch zentrumsbildender Struktur	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/compostingPlant	compostingPlant	Kompostieranlage		Flaechen fuer Kompostieranlagen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/spaArea	spaArea	Kurgebiet		Flaechen fuer Kuranstalten und darauf abgestellte Tourismusbetriebe und Erholungseinrichtungen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/shippingPier	shippingPier	Laendeflaeche		Flaechen an Wasserstrassen, die fuer den Übergang des Personen- oder Gueterverkehrs vom Wasserweg auf den Landweg bestimmt sind	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/agricultureLand	agricultureLand	Land- und Forstwirtschaft, oedland		Flaechen die fuer die Land- und Forstwirtschaft bestimmt sind oder oedland sind	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/afforestationArea	afforestationArea	Neuaufforstungsgebiete		Neuaufforstungsgebiete	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/residentialOnlyArea	residentialOnlyArea	Reines Wohngebiet		Flaechen einzig fuer Wohngebaeude, die einem dauernden Wohnbedarf dienen und fuer Bauwerke	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/SEAZoning	SEAZoning	SUP pflichtige Widmung		Widmung fuer die eine Strategische Umweltpruefung erforderlich ist	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/PZBuildingLand	PZBuildingLand	Schutz- oder Pufferzone im Bauland		Schutz- oder Pufferzonen zur Gliederung und Abstimmung unterschiedlicher Widmungen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/protectionZone	protectionZone	Schutzzone im Gruenland oder Ueberflutungsgebiet		Schutzzone im Gruenland oder Ueberflutungsgebiet mit spezifischer Festlegung	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/specialGreenLand	specialGreenLand	Sonderausweisung im Gruenland		Flaechen fuer Schiessstaetten, Windkraftanlagen, Funkanlagen und Photovoltaikanlagen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/specialBuildingLand	specialBuildingLand	Sondergebiete des Baulandes		Flaechen fuer Nutzungen, die einen besonderen Schutz erfordern oder zu sichern sind oder denen eine besondere Bedeutung zukommt, wie insbesonder Krankenanstalten, Schulen und Kirchen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/ooeLandUseValue/technicalZone	technicalZone	Technische Widmung		Technische Widmung unter Ersichtlichmachungen gem. § 30 ROG	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
