URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/sbgLandUseValue/GLAP	GLAP	Ablagerungsplätze		Ablagerungsplätze sind Flächen, auf denen Materialien auf Dauer deponiert werden, um sich ihrer zu entledigen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/GLGB	GLGB	Abstandsflächen		Abstandsflächen sind zur Trennung von Gebieten unterschiedlicher Widmung oder zur Siedlungsgliederung bestimmt	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BAHB	BAHB	Bau-, Möbel- oder Gartenmärkte		Als Bau-, Möbel- oder Gartenmärkte gelten Handelsgroßbetriebe, die Waren für Baumaßnahmen, die Raumausstattung bzw die Raum- oder Gartengestaltung sowie allenfalls in geringfügigem Ausmaß Lebens- und Genußmittel anbieten.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BABE	BABE	Betriebsgebiete		Betriebsgebiete sind Flächen, die bestimmt sind a) vorwiegend für Betriebe, auf die die Voraussetzungen der Z 2 lit c zutreffen; b) daneben für Bauten der öffentlichen Verwaltung sowie für betrieblich bedingte Wohnbauten	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/VEBL	VEBL	Bundes- und Landesstraßen		Bundes- und Landesstraßen und sonstige Straßen von überörtlicher Bedeutung samt den im Abs. 1 angeführten Nebenanlagen und Grünstreifen, Haupt- und Nebenbahnen samt ihren Nebenanlagen sowie Flugplätze sind unter Kenntlichmachung der jeweiligen Verwendung ebenfalls als Verkehrsflächen auszuweisen, ohne dass sich daraus für ihre Planung, Errichtung und Änderung auf Grund dieses Gesetzes Beschränkungen ergeben.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BAHC	BAHC	C+C Märkte		Als CandC-Märkte gelten Handelsgroßbetriebe, die grundsätzlich nur Wiederverkäufern zugänglich sind.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/GLCA	GLCA	Campingplätze		Campingplätze sind für den Betrieb eines Campingplatzes bestimmt	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BAHE	BAHE	Einkaufszentren		Als Einkaufszentren gelten Handelsgroßbetriebe, die eine geplante Konzentration von Einzelhandels- und Dienstleistungsbetrieben darstellen, die zueinander in einem räumlichen Naheverhältnis stehen und eine funktionale Einheit bilden.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/VEEB	VEEB	Eisenbahnen und deren Betriebsanlagen		Bundes- und Landesstraßen und sonstige Straßen von überörtlicher Bedeutung samt den im Abs. 1 angeführten Nebenanlagen und Grünstreifen, Haupt- und Nebenbahnen samt ihren Nebenanlagen sowie Flugplätze sind unter Kenntlichmachung der jeweiligen Verwendung ebenfalls als Verkehrsflächen auszuweisen, ohne dass sich daraus für ihre Planung, Errichtung und Änderung auf Grund dieses Gesetzes Beschränkungen ergeben.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/GLEG	GLEG	Erholungsgebiete		Erholungsgebiete sind Flächen, die für öffentlich zugängliche Gärten und Parkanlagen sowie sonstige für die Gesundheit und Erholung notwendige Grünflächen bestimmt sind	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BAEW	BAEW	Erweiterte Wohngebiete		Erweiterte Wohngebiete sind Flächen, die bestimmt sind für a) Wohnbauten; b) hiezu gehörige, dem Bedarf der Bewohner dienende Nebenanlagen (Garagen, Gartenhäuschen, Gewächshäuser udgl); c) Betriebe, die keine erhebliche Geruchs- oder Lärmbelästigung, sonstige Luftverunreinigung oder Erschütterung für die Nachbarschaft und keinen übermäßigen Straßenverkehr verursachen und keine Gefährdung der Umgebung durch Explosion oder Strahlung zu verursachen geeignet sind; d) Bauten für Erziehungs-, Bildungs- und sonstige kulturelle und soziale Aufgaben sowie der öffentlichen Verwaltung;	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/sbgLandUseValue/BAHF	BAHF	Fachmärkte		Als Fachmärkte gelten Handelsgroßbetriebe, die Waren einer oder mehrerer Warengruppen sowie allenfalls im geringfügigen Ausmaß Lebens- und Genußmittel anbieten, mit Ausnahme von Bau-, Möbel- oder Gartenmärkten.	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/lunom	http://inspire.ec.europa.eu/theme/lu	http://inspire.ec.europa.eu/registry/status/valid
