URI	Notation	Label	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bETR	bETR	BETR	Betriebsanlage allgemein		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bHNDL	bHNDL	BHNDL	Wasseraufbereitung		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bRUN	bRUN	BRUN	Brunnen		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/eNTSORG	eNTSORG	ENTSORG	Abwasserentsorgungsanlage/Kanal		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/gWANL	gWANL	GWANL	Grundwasseranlage/Entnahme/Versickerung		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kLRANL	kLRANL	KLRANL	Klaeranlage		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kRAFT	kRAFT	KRAFT	Krafthaus Wasserkraftwerk		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kRFTW	kRFTW	KRFTW	Wasserkraftwerk		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/mUEHL	mUEHL	MUEHL	Muehle		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/oWANL	oWANL	OWANL	Fliessgewaesseranlage/Entnahme/Einleitung		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/qU	qU	QU	Quelle		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/rEGEN	rEGEN	REGEN	Regenentwaesserung		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sEE	sEE	SEE	Stehendes Gewaesser		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sOANL	sOANL	SOANL	Sonderanlage		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sONST	sONST	SONST	Sonderbauwerk		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sPEICHER	sPEICHER	SPEICHER	Wasserspeicher		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sTAU	sTAU	STAU	Stauanlage		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/vERF	vERF	VERF	Deponie/Verfuellung		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/vSRGANL	vSRGANL	VSRGANL	Wasserversorgungsanlage		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/wNUTZ	wNUTZ	WNUTZ	Waermenutzung/Kuehlwasseranlage		http://inspire.ec.europa.eu/applicationschema/am	http://inspire.ec.europa.eu/theme/am	http://inspire.ec.europa.eu/registry/status/valid
