URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bETR|bETR|BETR||Betriebsanlage allgemein|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bHNDL|bHNDL|BHNDL||Wasseraufbereitung|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/bRUN|bRUN|BRUN||Brunnen|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/eNTSORG|eNTSORG|ENTSORG||Abwasserentsorgungsanlage/Kanal|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/gWANL|gWANL|GWANL||Grundwasseranlage/Entnahme/Versickerung|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kLRANL|kLRANL|KLRANL||Klaeranlage|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kRAFT|kRAFT|KRAFT||Krafthaus Wasserkraftwerk|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/kRFTW|kRFTW|KRFTW||Wasserkraftwerk|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/mUEHL|mUEHL|MUEHL||Muehle|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/oWANL|oWANL|OWANL||Fliessgewaesseranlage/Entnahme/Einleitung|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/qU|qU|QU||Quelle|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/rEGEN|rEGEN|REGEN||Regenentwaesserung|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sEE|sEE|SEE||Stehendes Gewaesser|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sOANL|sOANL|SOANL||Sonderanlage|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sONST|sONST|SONST||Sonderbauwerk|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sPEICHER|sPEICHER|SPEICHER||Wasserspeicher|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/sTAU|sTAU|STAU||Stauanlage|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/vERF|vERF|VERF||Deponie/Verfuellung|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/specialisedZoneTypeStmk/vSRGANL|vSRGANL|VSRGANL||Wasserversorgungsanlage|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/am|http://inspire.ec.europa.eu/theme/am|http://inspire.ec.europa.eu/registry/status/valid
