subject,predicate,object
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BE,http://www.w3.org/2004/02/skos/core#prefLabel,future development zone
https://registry.inspire.gv.at/codelist/vbgLandUseValue/VF,http://www.w3.org/2004/02/skos/core#notation,VF
https://registry.inspire.gv.at/codelist/vbgLandUseValue/FG,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/vbgLandUseValue
https://registry.inspire.gv.at/codelist/vbgLandUseValue/F,http://purl.org/dc/terms/description,Def. VBG
https://registry.inspire.gv.at/codelist/vbgLandUseValue/FL,http://www.w3.org/2004/02/skos/core#scopeNote,INSPIRE governance level: national-technical
https://registry.inspire.gv.at/codelist/vbgLandUseValue/VBE,http://www.w3.org/2004/02/skos/core#notation,VBE
https://registry.inspire.gv.at/codelist/vbgLandUseValue/VF,http://purl.org/dc/terms/description,Def. VBG
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BE,http://www.w3.org/2004/02/skos/core#definition,to be defined
https://registry.inspire.gv.at/codelist/vbgLandUseValue/FL,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/vbgLandUseValue
https://registry.inspire.gv.at/codelist/vbgLandUseValue/VSE,http://purl.org/dc/terms/conformsTo,http://inspire.ec.europa.eu/applicationschema/lunom
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BB-I,http://www.w3.org/2004/02/skos/core#inScheme,https://registry.inspire.gv.at/codelist/vbgLandUseValue
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEB-II,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/vbgLandUseValue/BE
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEM,http://www.w3.org/ns/adms#status,http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEK,http://www.w3.org/2004/02/skos/core#broader,https://registry.inspire.gv.at/codelist/vbgLandUseValue/BE
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEM,http://purl.org/dc/terms/description,Def. VBG
