URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEK|BEK|Bauerwartungsfläche|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEB|BEB|Bauerwartungsfläche-Betriebsgebiet|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Es wird zwischen Gebieten, die für Betriebsanlagen bestimmt sind, der Kategorien I und II unterschieden.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEB-I|BEB-I|Bauerwartungsfläche-Betriebsgebiet Kategorie I|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Betriebsgebiete Kategorie I sind Gebiete, die für Betriebsanlagen bestimmt sind, die keine wesentlichen Störungen für die Umgebung des Betriebsgebiets verursachen. Im Betriebsgebiet Kategorie I ist die Errichtung von Wohnungen für die in Betrieben des betreffenden Gebiets Beschäftigten sowie von Gebäuden und Anlagen zulässig, die der Versorgung und den sozialen Bedürfnissen der in solchen Gebieten arbeitenden Bevölkerung dienen. Wenn dies nach den für die Raumplanung maßgeblichen Verhältnissen erforderlich ist, können im Betriebsgebiet Kategorie I zum Zwecke der Sicherung geeigneter Flächen für Produktionsbetriebe Zonen festgelegt werden, in denen Gebäude und Anlagen nach Abs. 6 zweiter Satz lit. a, b oder c nicht zulässig sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEB-II|BEB-II|Bauerwartungsfläche-Betriebsgebiet Kategorie II|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Betriebsgebiete Kategorie II sind Gebiete, die vornehmlich für Betriebsanlagen, die im Betriebsgebiet Kategorie I nicht errichtet werden dürfen, bestimmt sind. In Betriebsgebieten Kategorie II dürfen nicht errichtet werden a) Wohnungen, ausgenommen betriebsnotwendige Wohnungen für das Aufsichts-und Wartungspersonal, wenn diese in den Betrieb integriert sind, b) Gebäude und Anlagen für Sport-und Freizeitzwecke und c) Gebäude und Anlagen für Zwecke des Handels, sofern der Handel nicht ausschließlich zum Weiterverkauf von Waren des nicht täglichen Bedarfs oder untergeordnet in Produktionsbetrieben zum Verkauf von Waren überwiegend eigener Produktion erfolgt.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BE|BE|Bauerwartungsfläche-Kerngebiet||Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Kerngebiete sind Gebiete in zentraler innerörtlicher Lage, die vornehmlich für Gebäude für Verwaltung, Handel, Bildungs-und andere kulturelle und soziale Einrichtungen, sonstige Dienstleistungen und Wohnungen bestimmt sind. Andere Gebäude und Anlagen sind zulässig, wenn der Charakter als Kerngebiet nicht gestört wird.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEM|BEM|Bauerwartungsfläche-Mischgebiet|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Mischgebiete sind Gebiete, in denen Wohngebäude und sonstige Gebäude und Anlagen zulässig sind, die das Wohnen nicht wesentlich stören.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BEW|BEW|Bauerwartungsfläche-Wohngebiet|Bauerwartungsfläche-Kerngebiet|Bauerwartungsflächen dürfen nur als Folgewidmung nach §12 Abs. 4 oder bei Umwidmungen nach §23 Abs.2 lit. a Raumplanungsgesetz festgelegt werden. Flächen, die gemäß § 13 Abs. 2 als Bauflächen nicht geeignet sind, dürfen nicht als Bauerwartungsflächen gewidmet werden. Bauerwartungsflächen können in Kern-, Wohn-, Misch- oder Betriebsgebiete unterteilt werden. Wohngebiete sind Gebiete, die für Wohngebäude bestimmt sind. Andere Gebäude und Anlagen dürfen in Wohngebieten errichtet werden, wenn dadurch das Wohnen und auch sonst der Charakter als Wohngebiet nicht gestört wird.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/B|B|Baufläche||Bauflächen sind im Flächenwidmungsplan bereits bebaute Flächen und Flächen, die sich aufgrund der natürlichen Verhältnisse für die Bebauung eignen|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BB|BB|Baufläche-Betriebsgebiet|Baufläche|Bauflächen sind im Flächenwidmungsplan bereits bebaute Flächen und Flächen, die sich aufgrund der natürlichen Verhältnisse für die Bebauung eignen und in absehbarer Zeit, längstens aber innert 7 Jahren, als Bauflächen benötigt werden und innerhalb dieser Frist erschlossen werden können. Bauflächen sind nach Erfordernis und Zweckmäßigkeit in Kern-, Wohn-, Misch- oder Betriebsgebiete zu unterteilen. Es wird zwischen Gebieten, die für Betriebsanlagen bestimmt sind, der Kategorien I und II unterschieden.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/vbgLandUseValue/BB-I|BB-I|Baufläche-Betriebsgebiet Kategorie I|Baufläche|Bauflächen sind im Flächenwidmungsplan bereits bebaute Flächen und Flächen, die sich aufgrund der natürlichen Verhältnisse für die Bebauung eignen und in absehbarer Zeit, längstens aber innert 7 Jahren, als Bauflächen benötigt werden und innerhalb dieser Frist erschlossen werden können. Bauflächen sind nach Erfordernis und Zweckmäßigkeit in Kern-, Wohn-, Misch- oder Betriebsgebiete zu unterteilen. Betriebsgebiete Kategorie I sind Gebiete, die für Betriebsanlagen bestimmt sind, die keine wesentlichen Störungen für die Umgebung des Betriebsgebiets verursachen. Im Betriebsgebiet Kategorie I ist die Errichtung von Wohnungen für die in Betrieben des betreffenden Gebiets Beschäftigten sowie von Gebäuden und Anlagen zulässig, die der Versorgung und den sozialen Bedürfnissen der in solchen Gebieten arbeitenden Bevölkerung dienen. Wenn dies nach den für die Raumplanung maßgeblichen Verhältnissen erforderlich ist, können im Betriebsgebiet Kategorie I zum Zwecke der Sicherung geeigneter Flächen für Produktionsbetriebe Zonen festgelegt werden, in denen Gebäude und Anlagen nach Abs. 6 zweiter Satz lit. a, b oder c nicht zulässig sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
